Product Id,Name,Description,Price,Link
2175555,Urbano Fashion,Men Slim Fit Jeans,₹756,https://www.nykaafashion.com/urbano-fashion-men-slim-fit-jeans-22/p/2175555
10625834,Red Tape,Men Grey Solid Washed Cotton Spandex Skinny Jeans,"₹1,709",https://www.nykaafashion.com/red-tape-men-grey-solid-washed-cotton-spandex-skinny-jeans/p/10625834
2535258,U.S. POLO ASSN.,Men Blue Mid Rise Stone Washed Jeans,"₹1,860",https://www.nykaafashion.com/u.s.-polo-assn.-men-blue-mid-rise-stone-washed-jeans-2/p/2535258
13389442,Jack & Jones,Lt. Blue Slim Fit Stretch Jeans,₹880,https://www.nykaafashion.com/jack-jones-lt-blue-slim-fit-stretch-jeans/p/13389442
8883906,Cantabil,Men Light Carbon Blue Jeans,"₹1,440",https://www.nykaafashion.com/cantabil-men-light-carbon-blue-jeans/p/8883906
8573114,American Eagle,Men Blue Original Bootcut Jean,"₹3,680",https://www.nykaafashion.com/american-eagle-men-blue-original-bootcut-jean/p/8573114
11967878,Styli,Balloon Fit Jeans With Pockets Blue,"₹1,499",https://www.nykaafashion.com/styli-balloon-fit-jeans-with-pockets-blue/p/11967878
12583878,Pepe Jeans,Blue Tyler 90's Relaxed Fit Mid Waist Dropped Crotch Ankle Jeans,"₹2,760",https://www.nykaafashion.com/pepe-jeans-blue-tyler-90-s-relaxed-fit-mid-waist-dropped-crotch-ankle-jeans/p/12583878
13151750,Off Duty India,Metal Grey Acid Wash Regular Fit Denim - Grey,"₹1,521",https://www.nykaafashion.com/off-duty-india-metal-grey-acid-wash-regular-fit-denim-grey/p/13151750
12589908,Forever 21,MEN MID WAIST SLIM FIT REGULAR LENGTH JEANS,"₹1,260",https://www.nykaafashion.com/forever-21-solid-black-slim-fit-jeans/p/12589908
10488963,Spykar,Limited Edition Dark Blue Regular Fit Premium Stretchable Rover Denim For Men,"₹1,800",https://www.nykaafashion.com/spykar-limited-edition-dark-blue-regular-fit-premium-stretchable-rover-denim-for-men/p/10488963
8353356,Merchant Marine,Mens Casual Slim Fit Distressed Denims Blue,"₹2,625",https://www.nykaafashion.com/merchant-marine-mens-casual-slim-fit-distressed-denims-blue/p/8353356
9279975,U.S. Polo Assn. Denim Co.,Brandon Slim Tapered Fit Jeans,"₹2,040",https://www.nykaafashion.com/u-s-polo-assn-denim-co-brandon-slim-tapered-fit-jeans/p/9279975
1818568,Campus Sutra,Men Regular Stylish Blue Jeans,₹900,https://www.nykaafashion.com/campus-sutra-blue-patterned-jeans-9/p/1818568
12610203,Levi's,Men's 511 Dark Blue Slim Fit Jeans,"₹3,190",https://www.nykaafashion.com/levi-s-men-s-511-dark-blue-slim-fit-jeans/p/12610203
12352721,United Colors of Benetton,Men Solid Carrot Fit Jeans Black,"₹3,000",https://www.nykaafashion.com/united-colors-of-benetton-men-solid-carrot-fit-jeans/p/12352721
9741754,Kazo,Slim Fit Rugged Denim Blue,"₹2,184",https://www.nykaafashion.com/kazo-slim-fit-rugged-denim-blue/p/9741754
10356781,Louis Philippe,Men Black Dark Slim Fit Jeans,"₹1,770",https://www.nykaafashion.com/louis-philippe-men-black-dark-slim-fit-jeans/p/10356781
14387369,UNSIZED,Men Grey Solid Mid Waist Jeans,"₹3,299",https://www.nykaafashion.com/unsized-men-grey-solid-mid-waist-jeans/p/14387369
